region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,92031359043275.72,10068541367.7365,80414438730012.45,8399884629.3507,65769724602.0,527033712693.01,766568923078.7948,2033289841506.2495,886711761121.9548,1232498724.0653,54997248.0
10000002,The Forge,451578115175808.25,36343634617.9903,489194191882744.75,46149502836.6791,472947250203.0,3293316005788.49,25501044604723.67,828074485503004.9,1046682725436.018,2127565041.8278,399129658.0
10000003,Vale of the Silent,42739901885248.86,3382651868.7718005,46229721414522.89,2847626962.8471,5287753705734.0,2290535287009.25,22535096560853.88,11000006943135.79,3543154920634.891,5599211477.676,0.0
10000005,Detorid,13014732361446.66,939691410.7352,13954659435459.484,1152113947.3912,389246344639.0,352542479903.41,1589575589292.308,475454695585.98,1091415943001.1399,591380222.8899,0.0
10000006,Wicked Creek,8179648471622.358,535195755.9189,8202385601756.864,546892583.2949001,248775612076.0,183110604721.98,47823243632.3096,1701296750.9,110307292056.03856,16228955.1123,0.0
10000007,Cache,7276062444856.159,574117926.703,6408392778372.296,378594392.264,1237625156340.0,385056076326.04,1194163189866.629,288852625334.06,398248333549.16833,527555590.8712,0.0
10000008,Scalding Pass,16263075878900.914,1958007162.3576002,9608955932392.734,1099125811.7248,286003735910.0,555110696126.32,130771558164.0911,13841990844.01,166451414991.84445,46765047.2048,0.0
10000009,Insmother,11331458659347.219,986524595.4991001,17006824213148.555,2195125488.9051003,1986572617983.0,487464466277.54,477410553425.858,126932825804.21002,685366685217.464,1084843841.6204,0.0
10000010,Tribute,28743266807793.766,2822341451.7014,30387003970877.285,2126986925.9622002,2433475209794.0,707593697855.4,6979710996609.574,2526820381.0,724805659135.8171,1631887543.2327,0.0
10000011,Great Wildlands,16079845453046.143,1640228534.8487,17450259711592.66,2042747765.7817001,26130240896.0,297124390284.3,263132864836.0696,55235898007.460014,254514641571.8424,448739132.5058,1578839.0
10000012,Curse,25904051032905.98,2151261927.7409,28485189696305.28,2756233357.0771003,103838379071.0,279093955985.24,318940245714.7393,195789729177.41998,44801087817.459274,22214498.4348,364306020.0
10000013,Malpais,25442833193102.266,1771043954.4375,27144194245571.555,1685492596.3985,1203028180366.0,255666126781.76,8151348924920.713,319494853781.02,1287844311353.8713,992810199.6946,0.0
10000014,Catch,99639128642194.97,7022596419.233,101685286987854.81,6647188248.486,2417716444502.0,1227632584889.45,10766666846420.248,86880664911.09998,696637784120.0148,790649007.6155,0.0
10000015,Venal,23300313613520.297,1056138509.9469,18348068434500.926,1275189933.2279,398186518058.0,375538624365.94,252635074061.516,197256021082.88998,183987519265.0604,191255873.4196,846908220.0
10000016,Lonetrek,284481302995025.4,31471574890.7038,270154276800742.97,26133362790.1302,534142564569.0,2121888361465.52,17552728045129.387,18152489074458.49,842937157656.4435,1253606655.4835,3454000702.0
