wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,2130991543530.7126
Class 1,Blue loot,Imports,2097014008097.0916
Class 1,Gas,Exports,565582770295.6533
Class 1,Gas,Imports,306968085699.7997
Class 1,Materials,Exports,3478783345807.9775
Class 1,Materials,Imports,3313888695487.9106
Class 2,Blue loot,Exports,5418405784505.668
Class 2,Blue loot,Imports,5303584737310.315
Class 2,Gas,Exports,1390236393964.8525
Class 2,Gas,Imports,1457219750789.7473
Class 2,Materials,Exports,7507039678268.792
Class 2,Materials,Imports,7086658458249.153
Class 3,Blue loot,Exports,6822819398066.646
Class 3,Blue loot,Imports,5646323511503.002
Class 3,Gas,Exports,1846881490672.2322
Class 3,Gas,Imports,782106012637.5149
Class 3,Materials,Exports,6687642994422.33
Class 3,Materials,Imports,5819279245186.5205
Class 4,Blue loot,Exports,6387612632760.149
Class 4,Blue loot,Imports,4921886779318.63
Class 4,Gas,Exports,1118941316724.2168
Class 4,Gas,Imports,1512657916713.812
Class 4,Materials,Exports,3534442783640.3647
Class 4,Materials,Imports,3479903325330.048
Class 5,Blue loot,Exports,10641522842680.406
Class 5,Blue loot,Imports,3411513686450.218
Class 5,Gas,Exports,1465918761187.041
Class 5,Gas,Imports,573142792618.8473
Class 5,Materials,Exports,3726145373183.0205
Class 5,Materials,Imports,3072697003029.0874
Class 6,Blue loot,Exports,6072719789707.205
Class 6,Blue loot,Imports,1373286626221.3345
Class 6,Gas,Exports,368167689296.1042
Class 6,Gas,Imports,207031368911.397
Class 6,Materials,Exports,1574466011778.112
Class 6,Materials,Imports,1317071725037.828
