region_name,source,quantity
Aridia,metanox_mining,254878770692.0
Aridia,refinery_mining,143715950794.0
Black Rise,metanox_mining,253967745160.0
Black Rise,refinery_mining,23044015028.0
Branch,metanox_mining,237657692611.0
Branch,refinery_mining,300849457134.0
Cache,metanox_mining,85669890297.0
Cache,refinery_mining,161151741289.0
Catch,metanox_mining,150916338474.0
Catch,refinery_mining,290053409227.0
Cloud Ring,metanox_mining,155809822041.0
Cloud Ring,refinery_mining,130255491345.0
Cobalt Edge,metanox_mining,97969712276.0
Cobalt Edge,refinery_mining,182029532994.0
Curse,metanox_mining,232805320471.0
Curse,refinery_mining,3750572380.0
Deklein,metanox_mining,190303488649.0
Deklein,refinery_mining,274067395225.0
Delve,metanox_mining,275903915471.0
Delve,refinery_mining,360481278634.0
Derelik,metanox_mining,158026369038.0
Derelik,refinery_mining,161470383902.0
Detorid,metanox_mining,260955300781.0
Detorid,refinery_mining,215447789436.0
Devoid,metanox_mining,87024234117.0
Devoid,refinery_mining,99595502030.0
Domain,metanox_mining,121276099389.0
Domain,refinery_mining,308158074024.0
Esoteria,metanox_mining,147615446330.0
Esoteria,refinery_mining,255988779217.0
Essence,metanox_mining,114201550636.0
Essence,refinery_mining,127385323109.0
Etherium Reach,metanox_mining,172139146475.0
Etherium Reach,refinery_mining,562672195701.0
Everyshore,metanox_mining,40403871715.0
Everyshore,refinery_mining,87810772074.0
Fade,metanox_mining,76410434984.0
Fade,refinery_mining,72633389632.0
Feythabolis,metanox_mining,88767581927.0
Feythabolis,refinery_mining,233776327842.0
Fountain,metanox_mining,421411702405.0
Fountain,refinery_mining,770354813982.0
Geminate,metanox_mining,272633587765.0
Geminate,refinery_mining,165609153301.0
Genesis,metanox_mining,271042663133.0
Genesis,refinery_mining,80835919938.0
Great Wildlands,metanox_mining,318067853216.0
Great Wildlands,refinery_mining,206220443477.0
Heimatar,metanox_mining,115027369884.0
Heimatar,refinery_mining,41205670798.0
Immensea,metanox_mining,34798649400.0
Immensea,refinery_mining,623580962299.0
Impass,metanox_mining,11324812200.0
Impass,refinery_mining,589842124982.0
Insmother,metanox_mining,275667515979.0
Insmother,refinery_mining,288682610202.0
Kador,metanox_mining,106590582008.0
Kador,refinery_mining,130511142668.0
Khanid,metanox_mining,175822431219.0
Khanid,refinery_mining,105756254874.0
Kor-Azor,metanox_mining,126806333323.0
Kor-Azor,refinery_mining,15762768399.0
Lonetrek,metanox_mining,83265236215.0
