wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,2046829736317.2922
Class 1,Blue loot,Imports,2009533353893.3237
Class 1,Gas,Exports,526395521941.7433
Class 1,Gas,Imports,268640800027.7042
Class 1,Materials,Exports,3593214201392.4556
Class 1,Materials,Imports,3527580275962.9277
Class 2,Blue loot,Exports,5726145791618.762
Class 2,Blue loot,Imports,5595153884394.896
Class 2,Gas,Exports,1300597156233.3064
Class 2,Gas,Imports,1355113870815.3096
Class 2,Materials,Exports,8007630879972.42
Class 2,Materials,Imports,7755489244989.457
Class 3,Blue loot,Exports,6824714166541.397
Class 3,Blue loot,Imports,5616779459166.325
Class 3,Gas,Exports,1800002827977.892
Class 3,Gas,Imports,778616771831.1122
Class 3,Materials,Exports,7081966605163.046
Class 3,Materials,Imports,5857496836654.549
Class 4,Blue loot,Exports,6416588868531.9
Class 4,Blue loot,Imports,4760248459796.705
Class 4,Gas,Exports,1081922643018.4006
Class 4,Gas,Imports,1524488424585.0515
Class 4,Materials,Exports,3870453787313.5337
Class 4,Materials,Imports,3409155574412.1533
Class 5,Blue loot,Exports,10697873340646.66
Class 5,Blue loot,Imports,3656342446734.53
Class 5,Gas,Exports,1378078622891.248
Class 5,Gas,Imports,515540976128.2419
Class 5,Materials,Exports,4223687716374.5054
Class 5,Materials,Imports,3278190255069.7866
Class 6,Blue loot,Exports,6409065496110.442
Class 6,Blue loot,Imports,1843180204593.307
Class 6,Gas,Exports,356312356456.5592
Class 6,Gas,Imports,180717591204.8424
Class 6,Materials,Exports,1786723055295.0715
Class 6,Materials,Imports,1292356047435.6875
