region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,93530681697650.44,9334843127.9134,87732161644271.0,9036933282.2372,74257742867.0,582361748552.28,799986772785.5892,1641270434552.4001,1015652400747.2909,1603607103.6117,105982494.0
10000002,The Forge,470780413476382.1,38521619577.4605,502294312168679.6,48086002960.1708,461705492852.0,3175299223222.52,26599124707624.035,717297643655033.0,1162495541772.6099,2291919292.3475,620755868.0
10000003,Vale of the Silent,44018262810655.01,3743849869.3735003,47517310627632.58,2877523680.8097997,5628767943132.0,2144041796005.64,24023906530812.414,11703450814234.682,3544326788022.6143,8020316548.7111,0.0
10000005,Detorid,9866301029347.676,648947887.4987,11283261568480.0,842026797.9442,592527691606.0,405492225420.71,1430284921378.841,519371548247.62,993351084902.1316,768241049.1798,0.0
10000006,Wicked Creek,11225298893042.717,1002289481.7876999,11707526894485.414,1420814787.5737,286114235362.0,223309075727.11,23721662787.3299,31820866492.740005,51847263844.54691,0.0,0.0
10000007,Cache,7065429693798.858,489588718.076,7380423440619.586,460525025.451,1499609440594.0,529188598385.57,964076208844.4594,397447362078.7,445062593441.41077,606021035.4198,0.0
10000008,Scalding Pass,11687876398085.633,1384952856.9337,9310346594007.23,919675606.5854001,295247322172.0,714208123822.82,85927976249.9792,19990452116.609997,191604402261.7988,54110169.9851,0.0
10000009,Insmother,9942390865352.137,680557264.2149,10413442915949.117,1322652272.0074,3143624174306.0,755969449108.39,589004701845.1313,140751290609.3,949706559454.354,1369700640.0664,0.0
10000010,Tribute,30604728404721.164,2984803293.7135997,31413129701060.516,2141878097.9713,2675609807315.0,772032420031.19,7187955753815.807,2917160490.0,635845304265.7451,1795839788.8285,0.0
10000011,Great Wildlands,16547452515935.756,1291694055.9894001,17794147556631.39,1863355436.9787002,38586054632.0,333114169171.67,286098319246.8632,117367582712.68,262363610574.08337,789376145.0597,2919812.0
10000012,Curse,26761337830042.89,2258489385.9927,27738196964074.18,2973800342.6952,129581331809.0,410505182508.24,316232862843.002,182252239389.7,34997441435.630936,8129653.7176,434313193.0
