region_id,region_name,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted
10000001,Derelik,1439327484.35,19948980.0,706164000.0,1106571200.0,318347072.85,1726970.0,104978000.0,149034860.0
10000002,The Forge,3621670287.4,20753600.0,5064726000.0,2294713010.0,849090390.6,2799100.0,747771000.0,486939670.0
10000003,Vale of the Silent,4687261926.1,5930900.0,1324542000.0,6453392470.0,258061031.65,471480.0,236968000.0,298029600.0
10000005,Detorid,1260024099.65,2651030.0,212689000.0,264199860.0,136896349.3,129030.0,54460000.0,897700.0
10000006,Wicked Creek,20199465.6,4078780.0,2593000.0,0.0,5706174.8,102950.0,480000.0,0.0
10000007,Cache,379331587.45,828390.0,155402000.0,253431720.0,52227322.1,123760.0,24015000.0,3362630.0
10000008,Scalding Pass,144583623.35,4906860.0,71641000.0,48842780.0,16663503.0,257160.0,17087000.0,6213740.0
10000009,Insmother,882950753.8,5714330.0,91228000.0,447294750.0,162574518.3,254910.0,18618000.0,8982790.0
10000010,Tribute,267513270.2,923800.0,547937000.0,1135471840.0,7897692.5,16400.0,61215000.0,25927070.0
10000011,Great Wildlands,30469522.1,5004600.0,24082000.0,159516500.0,8747719.4,325300.0,2499000.0,1338310.0
10000012,Curse,5917814.7,10369750.0,10049000.0,8385000.0,968881.4,381260.0,2298000.0,41440.0
10000013,Malpais,1406184436.45,4645450.0,709758000.0,749360290.0,299009544.15,716020.0,197104000.0,49249140.0
10000014,Catch,595552860.4,3201440.0,513961000.0,2327774190.0,57528726.45,663120.0,67241000.0,46609180.0
10000015,Venal,129089386.64999999,3703980.0,6992000.0,49241920.0,12170445.7,381450.0,1305000.0,14152060.0
10000016,Lonetrek,2781034346.1,23143280.0,1988107000.0,1858457880.0,670927812.25,2576970.0,347685000.0,353295740.0
10000018,The Spire,1054672677.45,1921520.0,345503000.0,394732630.0,251208946.7,151330.0,94001000.0,17531980.0
10000020,Tash-Murkon,2839464847.75,5336750.0,1073920000.0,1294259010.0,702850669.5,134660.0,145398000.0,155988440.0
10000021,Outer Passage,1147848674.0,988280.0,127030000.0,392590990.0,126535993.15,126110.0,23959000.0,26572010.0
10000022,Stain,57883590.6,149320.0,140764000.0,293349640.0,4094997.3,0.0,14894000.0,2162920.0
10000023,Pure Blind,891661996.4,5421540.0,187760000.0,755111210.0,72380051.05,622040.0,47894000.0,39054410.0
10000025,Immensea,4976320537.35,1890380.0,1243304000.0,2538354050.0,304908303.15,249670.0,196295000.0,72277230.0
10000027,Etherium Reach,1555091611.4,3383580.0,139456000.0,873152390.0,302199250.35,327330.0,36835000.0,42668850.0
10000028,Molden Heath,445487133.55,7653870.0,606878000.0,239371010.0,65777913.25,1102740.0,149880000.0,11477250.0
10000029,Geminate,351815593.1,1830880.0,145773000.0,305655070.0,44646724.0,145540.0,32142000.0,7661860.0
10000030,Heimatar,2461951758.95,9817790.0,659891000.0,673496080.0,612817737.15,1552060.0,83543000.0,21014870.0
10000031,Impass,4866723074.65,0.0,501306000.0,1453583740.0,321408920.1,0.0,89771000.0,41326580.0
10000032,Sinq Laison,3328859401.7999997,5610960.0,1015465000.0,1400024500.0,731604372.55,591180.0,241512000.0,326838530.0
10000033,The Citadel,1972799710.45,6643230.0,994065000.0,1322398860.0,565945385.25,729290.0,220180000.0,592854640.0
10000034,The Kalevala Expanse,1941142107.65,3099200.0,331262000.0,659333140.0,289671661.9,421540.0,70622000.0,29949210.0
10000035,Deklein,697060097.45,327740.0,113348000.0,395366870.0,39561243.85,92300.0,19519000.0,3977050.0
10000036,Devoid,411803018.95,2068130.0,685579000.0,1816224670.0,82672411.35,198790.0,135353000.0,61038900.0
10000037,Everyshore,1667184133.35,2403890.0,2428205000.0,1401267950.0,404009142.3,196750.0,450638000.0,184287900.0
10000038,The Bleak Lands,178043919.2,1348740.0,177815000.0,85965980.0,50089279.65,236440.0,24699000.0,11143140.0
10000039,Esoteria,1155138611.35,0.0,209815000.0,382099340.0,93048249.6,0.0,37924000.0,13057980.0
10000040,Oasa,1480054289.75,1938840.0,495360000.0,868569280.0,120795262.65,118730.0,54649000.0,21189870.0
10000041,Syndicate,136226316.95,1482740.0,85923000.0,222462870.0,29046044.0,242030.0,21236000.0,28719700.0
10000042,Metropolis,3889324406.65,11345610.0,3087635000.0,1143454140.0,666159543.15,645030.0,519000000.0,167941350.0
