wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,2071820339141.5034
Class 1,Blue loot,Imports,2037846206772.2102
Class 1,Gas,Exports,630040939350.4948
Class 1,Gas,Imports,349932129949.35077
Class 1,Materials,Exports,3266393914419.6113
Class 1,Materials,Imports,3275627938057.2695
Class 2,Blue loot,Exports,5743995522655.985
Class 2,Blue loot,Imports,5604694558402.069
Class 2,Gas,Exports,1441198715558.3857
Class 2,Gas,Imports,1526585180315.8235
Class 2,Materials,Exports,7594668658000.364
Class 2,Materials,Imports,7193453799376.684
Class 3,Blue loot,Exports,8014428145033.492
Class 3,Blue loot,Imports,6649845610545.959
Class 3,Gas,Exports,2084789204966.001
Class 3,Gas,Imports,901361377307.3369
Class 3,Materials,Exports,6979674748601.834
Class 3,Materials,Imports,6202914763740.89
Class 4,Blue loot,Exports,7112475556766.218
Class 4,Blue loot,Imports,5497528933834.463
Class 4,Gas,Exports,1289336016064.2322
Class 4,Gas,Imports,1690868309046.3325
Class 4,Materials,Exports,3592398241116.1753
Class 4,Materials,Imports,3648627652623.354
Class 5,Blue loot,Exports,11400361545579.428
Class 5,Blue loot,Imports,3731691830297.754
Class 5,Gas,Exports,1507010376248.6567
Class 5,Gas,Imports,595173760906.459
Class 5,Materials,Exports,3865221686221.7266
Class 5,Materials,Imports,3181086949398.3853
Class 6,Blue loot,Exports,6472639569818.466
Class 6,Blue loot,Imports,1588186564022.7532
Class 6,Gas,Exports,340139244248.4314
Class 6,Gas,Imports,256741446570.4107
Class 6,Materials,Exports,1538185733997.194
Class 6,Materials,Imports,1264870304152.745
