region_name,source,quantity
Aridia,metanox_mining,247173240380.0
Aridia,refinery_mining,141697834004.0
Black Rise,metanox_mining,248428515155.0
Black Rise,refinery_mining,21631471696.0
Branch,metanox_mining,238525237525.0
Branch,refinery_mining,317717093843.0
Cache,metanox_mining,93269592140.0
Cache,refinery_mining,141539997450.0
Catch,metanox_mining,182308829455.0
Catch,refinery_mining,1032304727039.0
Cloud Ring,metanox_mining,145975466778.0
Cloud Ring,refinery_mining,180581367134.0
Cobalt Edge,metanox_mining,87506421486.0
Cobalt Edge,refinery_mining,260872462885.0
Curse,metanox_mining,227640005330.0
Curse,refinery_mining,7363437158.0
Deklein,metanox_mining,189631522671.0
Deklein,refinery_mining,211336530804.0
Delve,metanox_mining,238979837732.0
Delve,refinery_mining,240914302151.0
Derelik,metanox_mining,164619210945.0
Derelik,refinery_mining,290536908593.0
Detorid,metanox_mining,259548876880.0
Detorid,refinery_mining,241508063056.0
Devoid,metanox_mining,70042686422.0
Devoid,refinery_mining,68415929197.0
Domain,metanox_mining,125155448206.0
Domain,refinery_mining,273001849425.0
Esoteria,metanox_mining,136780562709.0
Esoteria,refinery_mining,286147781951.0
Essence,metanox_mining,113561992360.0
Essence,refinery_mining,137365044658.0
Etherium Reach,metanox_mining,163028665370.0
Etherium Reach,refinery_mining,728039479350.0
Everyshore,metanox_mining,42579847632.0
Everyshore,refinery_mining,61268060128.0
Fade,metanox_mining,88955051105.0
Fade,refinery_mining,110028960270.0
Feythabolis,metanox_mining,93694953127.0
Feythabolis,refinery_mining,342685503625.0
Fountain,metanox_mining,412489806066.0
Fountain,refinery_mining,597007300162.0
Geminate,metanox_mining,288192608973.0
Geminate,refinery_mining,273278492860.0
Genesis,metanox_mining,261119188636.0
Genesis,refinery_mining,53482606765.0
Great Wildlands,metanox_mining,316602186246.0
Great Wildlands,refinery_mining,120699040800.0
Heimatar,metanox_mining,110859050192.0
Heimatar,refinery_mining,40591431681.0
Immensea,metanox_mining,34115240160.0
Immensea,refinery_mining,668520939973.0
Impass,metanox_mining,11629484760.0
