region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000056,Feythabolis,9651414574688.602,434961856.4036,13334773653233.668,2666108237.0785,1285821191811.0,232080952191.49,42920999086.9539,6449584630.1,549753888524.69727,1114862287.1016,0.0
10000057,Outer Ring,7616730378470.561,326043391.816,3572246529528.05,350379956.8252,58618421199.0,51613235324.53,375701084568.4701,561154672423.1599,134502974005.43217,93812001.868,9155008.0
10000058,Fountain,21243654697418.438,1673510647.8689,35696039886339.1,2114653712.4101,5330609685015.0,1606168850763.3,18400597193160.586,10805975507051.781,2193691917040.1409,4678327938.1527,106836449.0
10000059,Paragon Soul,16596435055608.428,1020319431.2391001,17105416839118.885,1555916119.5735998,826188359452.0,167477942498.71,2254876150324.382,464398685580.88007,153720308473.51935,2475481424.2852,0.0
10000060,Delve,28271748591095.066,2114263536.3948,22564276628167.06,2134098258.3095,2061243410559.0,1121180750647.73,5605940743703.955,5377134523603.211,504895422930.7743,1019179418.9099,784637328.0
10000061,Tenerifis,94225777751578.28,11231627074.2701,116461295854322.8,8822056017.6302,2074424438581.0,950267176675.66,10209216436159.92,32321720786825.45,1131604430543.1277,2317374932.8441,0.0
10000062,Omist,1785538793509.239,115721255.768,4708733331204.842,197038404.58400002,541146197222.0,273637845140.27,883588789522.8241,263967702833.61002,247459703857.5541,221789329.4939,0.0
10000063,Period Basis,8636484047811.968,802641924.3117,9678540016243.117,776126514.1662,3634743654501.0,567589999130.46,3104486465737.3267,799142879555.7401,254056213810.22327,441574828.7331,0.0
10000064,Essence,231971486095501.1,24774780017.792,233467663694312.78,25393225089.7143,205793743743.0,634253032287.88,1856079898540.803,4410120761735.94,745244568661.3418,1463046854.0204,1118034329.0
10000065,Kor-Azor,70493289626048.3,6090344426.7524,66596821515190.95,5574393424.1241,200597771451.0,342573525202.82,715035639428.359,1427942863200.1199,287817903901.8673,282360323.0087,29880778.0
10000066,Perrigen Falls,62278791675485.99,5460895225.8808,87155342412419.33,6547606875.3218,3026590608059.0,1391470510193.4,8843117858135.178,30778474905243.58,1414713647315.4622,1747351016.2718,0.0
10000067,Genesis,204652268189641.62,22852313128.3364,207236542596251.94,22846459490.9817,218816023829.0,1248666320236.11,1626950032957.9358,2869087238814.93,631942304726.1924,1300859175.4259,195040961.0
10000068,Verge Vendor,37413987042012.09,7430806919.8461,40062801674679.7,6747826715.4795,88146669970.0,317161303331.4,688452240729.9003,1752803108016.71,523047055228.93787,506921419.2976,67208716.0
10000069,Black Rise,38394074413990.445,2641535164.3898,32039184287505.22,3654865790.7996,152128005318.0,1232466504525.96,3462891409749.673,668086870572.21,329471713121.28613,490848318.4066,56173824.0
10000070,Pochven,40902719210900.67,854329352.4074,36111800613492.67,866186229.6335,526177707.0,2381662185887.23,27686855324.2728,352622383286.93994,507325796712.2353,26854247.0121,0.0
