region_name,source,quantity
Aridia,metanox_mining,228430028929.0
Aridia,refinery_mining,88630375215.0
Black Rise,metanox_mining,278158375751.0
Black Rise,refinery_mining,37743166726.0
Branch,metanox_mining,270517831651.0
Branch,refinery_mining,434628772640.0
Cache,metanox_mining,87634672127.0
Cache,refinery_mining,135208674993.0
Catch,metanox_mining,112108755799.0
Catch,refinery_mining,663375443409.0
Cloud Ring,metanox_mining,170489761674.0
Cloud Ring,refinery_mining,184386618820.0
Cobalt Edge,metanox_mining,137898412968.0
Cobalt Edge,refinery_mining,207755570570.0
Curse,metanox_mining,196967555676.0
Curse,refinery_mining,17437373156.0
Deklein,metanox_mining,170608405113.0
Deklein,refinery_mining,238232608346.0
Delve,metanox_mining,327061666440.0
Delve,refinery_mining,149900290856.0
Derelik,metanox_mining,180839176913.0
Derelik,refinery_mining,167576275778.0
Detorid,metanox_mining,271872265861.0
Detorid,refinery_mining,304336232890.0
Devoid,metanox_mining,92371214416.0
Devoid,refinery_mining,141733378993.0
Domain,metanox_mining,137185888912.0
Domain,refinery_mining,364741584384.0
Esoteria,metanox_mining,114575779565.0
Esoteria,refinery_mining,480634598352.0
Essence,metanox_mining,124881782882.0
Essence,refinery_mining,162114956764.0
Etherium Reach,metanox_mining,170888505588.0
Etherium Reach,refinery_mining,758257407287.0
Everyshore,metanox_mining,47746953675.0
Everyshore,refinery_mining,109619167185.0
Fade,metanox_mining,116866250868.0
Fade,refinery_mining,140467718159.0
Feythabolis,metanox_mining,85304574914.0
Feythabolis,refinery_mining,285836103153.0
Fountain,metanox_mining,476309788544.0
Fountain,refinery_mining,872881669609.0
Geminate,metanox_mining,232706733340.0
Geminate,refinery_mining,366578954295.0
Genesis,metanox_mining,202938128392.0
Genesis,refinery_mining,119898848976.0
Great Wildlands,metanox_mining,350522104036.0
Great Wildlands,refinery_mining,261114185167.0
Heimatar,metanox_mining,117501922425.0
Heimatar,refinery_mining,64494707050.0
Immensea,metanox_mining,37027351488.0
Immensea,refinery_mining,888525036866.0
Impass,metanox_mining,13416944922.0
Impass,refinery_mining,461200966272.0
Insmother,metanox_mining,178958410369.0
Insmother,refinery_mining,477282168969.0
Kador,metanox_mining,119930544021.0
Kador,refinery_mining,232987734196.0
Khanid,metanox_mining,193234893801.0
Khanid,refinery_mining,159662441383.0
Kor-Azor,metanox_mining,120532096219.0
Kor-Azor,refinery_mining,18988751478.0
Lonetrek,metanox_mining,80603879651.0
Lonetrek,refinery_mining,157417438778.0
Malpais,metanox_mining,139944454993.0
Malpais,refinery_mining,605432838892.0
Metropolis,metanox_mining,266629468119.0
Metropolis,refinery_mining,158669422536.0
Molden Heath,metanox_mining,125137450865.0
Molden Heath,refinery_mining,93686636741.0
Oasa,metanox_mining,183627534835.0
Oasa,refinery_mining,414986044101.0
Omist,metanox_mining,162030098377.0
Omist,refinery_mining,83854313753.0
Outer Passage,metanox_mining,163103486185.0
Outer Passage,refinery_mining,307832347685.0
Outer Ring,metanox_mining,448908768705.0
Outer Ring,refinery_mining,19286141298.0
Paragon Soul,metanox_mining,90812647970.0
Paragon Soul,refinery_mining,115411143428.0
Period Basis,metanox_mining,129676000884.0
Period Basis,refinery_mining,83268391037.0
Perrigen Falls,metanox_mining,95857266292.0
Perrigen Falls,refinery_mining,374879964673.0
Placid,metanox_mining,241089515212.0
Placid,refinery_mining,65131498870.0
Pochven,refinery_mining,11920754548.0
Providence,metanox_mining,299545435367.0
Providence,refinery_mining,306438741715.0
Pure Blind,metanox_mining,313010487449.0
Pure Blind,refinery_mining,498516825638.0
Querious,metanox_mining,306312524783.0
Querious,refinery_mining,794767334941.0
Scalding Pass,metanox_mining,499642770755.0
Scalding Pass,refinery_mining,15181151378.0
Sinq Laison,metanox_mining,94291695196.0
Sinq Laison,refinery_mining,223805307718.0
Solitude,metanox_mining,150860949761.0
Solitude,refinery_mining,72372618140.0
Stain,metanox_mining,260925804333.0
Stain,refinery_mining,289930624469.0
Syndicate,metanox_mining,553088285143.0
Syndicate,refinery_mining,327649376650.0
Tash-Murkon,metanox_mining,36077814944.0
Tash-Murkon,refinery_mining,100082094222.0
Tenal,metanox_mining,95452676526.0
Tenal,refinery_mining,119414092649.0
