region_id,region_name,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted
10000060,Delve,181328627.55,10345600.0,76936000.0,40791890.0,42042297.6,1418530.0,20937000.0,1605790.0
10000061,Tenerifis,597578599.25,4023650.0,246179000.0,340971620.0,142373796.5,495200.0,51291000.0,44977340.0
10000062,Omist,1118326795.65,1183790.0,169120000.0,159187780.0,48337978.55,116010.0,30521000.0,481710.0
10000063,Period Basis,70403910.35,0.0,21712000.0,27342130.0,7849459.3,0.0,6510000.0,0.0
10000064,Essence,1580094185.05,5008620.0,702846000.0,1428844760.0,377154830.9,452120.0,116772000.0,46254000.0
10000065,Kor-Azor,832562774.5,7685880.0,376957000.0,477520310.0,211504699.9,643950.0,27196000.0,78191420.0
10000066,Perrigen Falls,2417138820.45,2582480.0,208264000.0,504804570.0,455252964.3,313570.0,31508000.0,41090090.0
10000067,Genesis,1240650017.0,8303950.0,696238000.0,1135019160.0,299938462.5,977420.0,131002000.0,276211460.0
10000068,Verge Vendor,1377983594.5,2092220.0,2570000.0,595986120.0,279943369.59999996,116690.0,4000.0,141250940.0
10000069,Black Rise,304083094.9,8185450.0,382303000.0,528442500.0,54641804.199999996,1380950.0,55125000.0,145446290.0
10000070,Pochven,317878960.0,0.0,0.0,3741730.0,111718312.0,0.0,0.0,8390.0
