wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,2215024578745.7686
Class 1,Blue loot,Imports,2176940203159.7175
Class 1,Gas,Exports,618498065014.2864
Class 1,Gas,Imports,317090294494.4547
Class 1,Materials,Exports,3293735986806.379
Class 1,Materials,Imports,3389929606975.1562
Class 2,Blue loot,Exports,5514825071838.448
Class 2,Blue loot,Imports,5487535687382.101
Class 2,Gas,Exports,1528779186999.786
Class 2,Gas,Imports,1575606522539.8848
Class 2,Materials,Exports,8407844892117.047
Class 2,Materials,Imports,7869744992787.75
Class 3,Blue loot,Exports,6804715083737.902
Class 3,Blue loot,Imports,5502384565240.79
Class 3,Gas,Exports,1996835317811.824
Class 3,Gas,Imports,919714630124.141
Class 3,Materials,Exports,7580695677608.731
Class 3,Materials,Imports,6867348352218.687
Class 4,Blue loot,Exports,6550326225902.301
Class 4,Blue loot,Imports,5201634657632.154
Class 4,Gas,Exports,1190829545866.898
Class 4,Gas,Imports,1727767182117.435
Class 4,Materials,Exports,3727200280544.6367
Class 4,Materials,Imports,3735824319813.523
Class 5,Blue loot,Exports,10859840160193.94
Class 5,Blue loot,Imports,3712627926448.6714
Class 5,Gas,Exports,1493972401255.3506
Class 5,Gas,Imports,644931323081.9569
Class 5,Materials,Exports,4267806918245.6855
Class 5,Materials,Imports,3702881174621.201
Class 6,Blue loot,Exports,6182363150985.194
Class 6,Blue loot,Imports,1454489221726.929
Class 6,Gas,Exports,401528260776.43604
Class 6,Gas,Imports,194471409586.6502
Class 6,Materials,Exports,1583361752863.6523
Class 6,Materials,Imports,1279569284961.8884
