region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,126783524438034.36,12784328027.588001,122212855167322.38,11466930735.154701,65862022898.0,453125332936.26,714093551351.4088,1725160911209.5603,1165532350599.1133,1883040422.023,27849229.0
10000002,The Forge,486206674657002.06,39325595513.4367,557494813263088.25,51388944821.4487,499053685376.0,2752797327754.84,29776719895074.56,690900510992062.0,1212563666671.1353,2499215319.3003,168818016.0
10000003,Vale of the Silent,65310498545578.414,6008319739.9591,71917882986097.64,6386055356.0791,6382106630380.0,1835425256800.47,26317714674503.96,12498433081030.137,2954632291867.8066,5097332351.1122,0.0
10000005,Detorid,56642110758369.51,5721902668.331401,29063423897439.582,1608938994.0269,534196215080.0,273979193754.82,1386468695685.7915,416615170393.6902,642461262673.0695,356819603.4579,0.0
10000006,Wicked Creek,128648788203446.66,16004713540.2494,142016007279678.1,17547956758.7754,84987405106.0,116935042360.66,79647396337.2518,10711767274.4,111603362829.16295,11667581.2888,0.0
10000007,Cache,43641987814003.52,5452426031.226399,10086507959599.24,1192203549.7632,682099023455.0,446294495842.94,534870456654.3241,171195383690.90997,172584689875.33206,230742843.9784,0.0
10000008,Scalding Pass,292682478085385.75,40392457992.5174,270509817066551.22,36184418880.6267,197052155437.0,512932547257.16,225448404287.5343,884053984036.39,98361926079.92537,27183233.7123,0.0
10000009,Insmother,37846795262312.67,3636756985.0078998,390141423613540.4,53997645123.4126,231878910258.0,1770155745983.15,75319858907.5803,3069195735382.76,164740453048.41925,291965967.774,0.0
10000010,Tribute,52657970029847.39,6143249134.7254,52715688396198.164,4343660332.3456,2351915981596.0,618296212574.71,9315890038094.959,1538001880.0,559596520890.7509,1361948137.5006,0.0
10000011,Great Wildlands,36384209656547.09,3461450973.0584,33037783095280.133,2963164363.8019,25237371205.0,734411704884.92,305525727362.9553,66186276521.33,173444900573.15564,312144378.39,1020826.0
10000012,Curse,172129454498489.7,22930016734.4883,179672057708244.47,24324859529.7978,112911245734.0,363899247306.4,349956487637.7875,222184151316.24002,45329600710.24602,14377409.3036,174262841.0
10000013,Malpais,99558914766906.27,15260161495.935598,83932030963020.25,14488831608.0116,1168479017964.0,293475684967.71,8131647990658.936,299729957661.12,1330144761781.0054,748925130.6514,0.0
10000014,Catch,261791791016652.84,24430603564.6444,289391675853888.7,29854809365.7119,2139617166180.0,1129234953205.73,9792319024591.81,247631477246.5,557348325775.9465,740708057.7475,0.0
10000015,Venal,35298738757155.05,2643847102.2809,34548533972917.023,3939435901.1225996,486153517420.0,370446554980.6,387263763701.6666,186508084226.65,150308820293.76266,128103677.7939,352768029.0
10000016,Lonetrek,309002404869281.6,33565326712.650604,306522745015497.6,29969303557.6781,575273856148.0,1657665098440.14,15781486526000.652,18132687618200.277,939908885305.7412,1605926921.7832,1522682275.0
10000018,The Spire,40068511965343.38,6127883708.0297,52859089021316.74,7089961293.3812,494306273047.0,164963091937.13,211498678662.9633,11464566100.07,964204655401.4277,495156299.8897,0.0
10000020,Tash-Murkon,53920298721945.71,6685795251.909201,47943291865410.21,5828826482.9794,143599714320.0,262777666265.39,1418049506384.494,2631928479645.88,596287232001.3279,681772348.5881,37855533.0
10000021,Outer Passage,16142963790084.729,1464587264.8284,20759837799258.977,3270909653.4059,594153131144.0,182747640142.84,1090429085235.1592,8476664268.81,774379177171.0765,553977580.7783,0.0
10000022,Stain,83953884143196.3,9722334598.1711,84008319822845.61,9704305758.044601,247923393101.0,402887281191.8,1222777810792.6533,191309540702.33005,249122061436.6347,560799300.0562,154976177.0
10000023,Pure Blind,37035586076728.19,6602559179.896,30574504200048.82,4173681890.4490004,692033758480.0,738053655120.55,2557582162126.632,1274514902852.3,738801944371.623,1024251568.441,204061947.0
10000025,Immensea,396648918454091.2,53443193556.7249,369251378515690.2,45932215261.641205,3594329007183.0,741584282396.34,27373523792910.777,24176938334.42,1614022734503.5127,972054168.124,0.0
10000027,Etherium Reach,78820982724981.02,6495143232.2262,189391671682686.25,43148899880.8136,1254070196146.0,1005137474685.54,4241856541702.9746,6956182048141.2705,2269529370167.3027,1806441620.342,0.0
