region_name,source,quantity
Aridia,metanox_mining,256370497377.0
Aridia,refinery_mining,72098572344.0
Black Rise,metanox_mining,254147756339.0
Black Rise,refinery_mining,20299034092.0
Branch,metanox_mining,252603165282.0
Branch,refinery_mining,118281055384.0
Cache,metanox_mining,83661479833.0
Cache,refinery_mining,90145575478.0
Catch,metanox_mining,321542007067.0
Catch,refinery_mining,244263357469.0
Cloud Ring,metanox_mining,162699173313.0
Cloud Ring,refinery_mining,143613183406.0
Cobalt Edge,metanox_mining,87979949968.0
Cobalt Edge,refinery_mining,242336182008.0
Curse,metanox_mining,239780374672.0
Curse,refinery_mining,4449640822.0
Deklein,metanox_mining,231120071259.0
Deklein,refinery_mining,107836594542.0
Delve,metanox_mining,225679346940.0
Delve,refinery_mining,35909732310.0
Derelik,metanox_mining,176501389219.0
Derelik,refinery_mining,196735515454.0
Detorid,metanox_mining,235187522454.0
Detorid,refinery_mining,134056549918.0
Devoid,metanox_mining,67422355823.0
Devoid,refinery_mining,151634047788.0
Domain,metanox_mining,123259711703.0
Domain,refinery_mining,251531697093.0
Esoteria,metanox_mining,113112693956.0
Esoteria,refinery_mining,164569019096.0
Essence,metanox_mining,112964883570.0
Essence,refinery_mining,129241174995.0
Etherium Reach,metanox_mining,168230921827.0
Etherium Reach,refinery_mining,614857518531.0
Everyshore,metanox_mining,45366557300.0
Everyshore,refinery_mining,54534705925.0
Fade,metanox_mining,97549139000.0
Fade,refinery_mining,71791105913.0
Feythabolis,metanox_mining,102899539516.0
Feythabolis,refinery_mining,311742535182.0
Fountain,metanox_mining,425796443637.0
Fountain,refinery_mining,745883370534.0
Geminate,metanox_mining,312811289125.0
Geminate,refinery_mining,256129406269.0
Genesis,metanox_mining,259412981350.0
Genesis,refinery_mining,49971639545.0
Great Wildlands,metanox_mining,357097033345.0
Great Wildlands,refinery_mining,113099331368.0
Heimatar,metanox_mining,116333511909.0
Heimatar,refinery_mining,38575052867.0
Immensea,metanox_mining,33916446552.0
Immensea,refinery_mining,366322591422.0
Impass,metanox_mining,13423916296.0
Impass,refinery_mining,399267674691.0
Insmother,metanox_mining,165649243466.0
Insmother,refinery_mining,88761849747.0
Kador,metanox_mining,95390144961.0
Kador,refinery_mining,132414278563.0
Khanid,metanox_mining,188926880411.0
Khanid,refinery_mining,87160338955.0
Kor-Azor,metanox_mining,126438777210.0
Kor-Azor,refinery_mining,17317254906.0
Lonetrek,metanox_mining,89473339769.0
Lonetrek,refinery_mining,74948986092.0
Malpais,metanox_mining,137069933502.0
Malpais,refinery_mining,318237497363.0
Metropolis,metanox_mining,287252016715.0
Metropolis,refinery_mining,58396586898.0
Molden Heath,metanox_mining,151533027300.0
Molden Heath,refinery_mining,123083365397.0
Oasa,metanox_mining,163305964556.0
Oasa,refinery_mining,212128478368.0
Omist,metanox_mining,134307387334.0
Omist,refinery_mining,107670601611.0
Outer Passage,metanox_mining,124180694751.0
Outer Passage,refinery_mining,184701357513.0
Outer Ring,metanox_mining,252635945039.0
Outer Ring,refinery_mining,151578965555.0
Paragon Soul,metanox_mining,52007672114.0
Paragon Soul,refinery_mining,91152630174.0
Period Basis,metanox_mining,67000005392.0
Period Basis,refinery_mining,44987588599.0
Perrigen Falls,metanox_mining,229879918941.0
Perrigen Falls,refinery_mining,240012581563.0
Placid,metanox_mining,217615179596.0
Placid,refinery_mining,32502112556.0
Pochven,refinery_mining,6855948540.0
Providence,metanox_mining,212256606111.0
Providence,refinery_mining,265237762995.0
Pure Blind,metanox_mining,300269906793.0
Pure Blind,refinery_mining,391900214654.0
Querious,metanox_mining,185118695918.0
Querious,refinery_mining,238477447151.0
Scalding Pass,metanox_mining,371878673050.0
Scalding Pass,refinery_mining,11745681502.0
Sinq Laison,metanox_mining,124107563178.0
Sinq Laison,refinery_mining,60825143152.0
Solitude,metanox_mining,159013134273.0
Solitude,refinery_mining,21868492733.0
Stain,metanox_mining,265087130796.0
Stain,refinery_mining,200537141999.0
Syndicate,metanox_mining,518647990096.0
Syndicate,refinery_mining,221815633530.0
Tash-Murkon,metanox_mining,22688124174.0
Tash-Murkon,refinery_mining,43028789262.0
Tenal,metanox_mining,104392729740.0
Tenal,refinery_mining,66913677599.0
Tenerifis,metanox_mining,114065780008.0
Tenerifis,refinery_mining,209715744347.0
The Bleak Lands,metanox_mining,69183569012.0
The Bleak Lands,refinery_mining,11213321760.0
The Citadel,metanox_mining,91615142598.0
The Citadel,refinery_mining,60995288938.0
The Forge,metanox_mining,77525369128.0
The Forge,refinery_mining,96692920402.0
The Kalevala Expanse,metanox_mining,206941267730.0
The Kalevala Expanse,refinery_mining,281238016273.0
The Spire,metanox_mining,90744036392.0
The Spire,refinery_mining,148939887590.0
Tribute,metanox_mining,168156071387.0
Tribute,refinery_mining,394895429913.0
Vale of the Silent,metanox_mining,233268578728.0
Vale of the Silent,refinery_mining,963306711773.0
Venal,metanox_mining,372991390392.0
Venal,refinery_mining,57505552016.0
Verge Vendor,metanox_mining,47457201970.0
Verge Vendor,refinery_mining,21826570422.0
Wicked Creek,metanox_mining,259610356278.0
Wicked Creek,refinery_mining,766039026.0
Wormhole (Class 1),metanox_mining,7138025655.0
Wormhole (Class 1),refinery_mining,1187710014.0
Wormhole (Class 2),metanox_mining,29797388977.0
Wormhole (Class 2),refinery_mining,3251274610.0
Wormhole (Class 3),metanox_mining,12361792507.0
Wormhole (Class 3),refinery_mining,1588128878.0
Wormhole (Class 4),metanox_mining,18869155417.0
Wormhole (Class 4),refinery_mining,2891773936.0
Wormhole (Class 5),metanox_mining,6639722865.0
Wormhole (Class 5),refinery_mining,906559926.0
