history_date,production_isk,destruction_isk,mining_isk,trade_value,total_exports,total_imports,total_isk_destroyed,total_isk,isk_velocity,is_war_period,isk_velocity_calculated,year,velocity_formula1,velocity_formula2,velocity_formula3
2019-12-01,102219586919365.28,33782554276572.09,29307065340383.01,820526800817200.8,248741319836753.03,252447225508649.6,34535604692283.85,1241149138676008.2,0.6614037060940303,0,,2019,0.6614037060940303,0.6611025019060118,0.6883212729818309
2020-01-01,118640966106127.8,37654641324897.74,36025335070610.695,754088357967953.8,198202158741811.3,198760534497790.75,36606561070870.4,1281179198693570.2,0.5888730763707927,0,,2020,0.5888730763707927,0.5885892923776036,0.6179799048409457
2020-02-01,104944616220339.62,38578829354386.72,31528243684323.723,708529902492163.6,294154250772096.44,295132040029360.4,36329916351529.56,1258301618595905.8,0.5633202816505019,0,,2020,0.5633202816505019,0.5630843130304378,0.5937437580984936
2020-03-01,96166179831385.5,40524770613673.37,33196553824427.395,684491992477764.2,242990734458126.1,243987472340850.8,43226174905422.83,1277500578803542.5,0.5360460784388918,0,,2020,0.5360460784388918,0.5358056221930114,0.5675275417647639
2020-04-01,107457954398810.8,42637400672199.57,31086682727061.203,781676173474967.0,274725068255003.7,274969156269120.0,44133798116842.88,1322103232581385.0,0.591434891035687,0,,2020,0.591434891035687,0.5912368672972359,0.6234865431330259
2020-05-01,114719257482859.38,42774471959182.93,30806206717808.258,758928605764268.4,220713842493904.4,222080873350204.97,42964142568323.88,1338420597409245.8,0.5672060552445339,0,,2020,0.5672060552445339,0.5670329694815751,0.5989918858655433
2020-06-01,101517797026852.84,45017375400061.88,26043391976027.48,667578014940975.5,227674594806001.3,228362647009148.03,43798529124550.7,1344647713701648.0,0.4965949886266591,0,,2020,0.4965949886266591,0.49647056856491895,0.5299495050486873
2020-07-01,101906612120736.42,33731282699702.637,29692197356390.95,618826827682914.1,217516234017730.84,219606630854570.0,33739218313955.062,1335703437717179.0,0.46341791439401026,0,,2020,0.46341791439401026,0.4632965748299168,0.48855014665372826
2020-08-01,88699787721403.34,35018212356184.44,30951146093267.78,606604936509802.8,190179383216247.75,191452898610221.03,34925454755620.92,1324585456761412.8,0.45815847589238984,0,,2020,0.45815847589238984,0.45795832455607716,0.4843954352592275
2020-09-01,88109345848849.62,33090794192175.12,28461725989006.957,600001525819938.8,172348021403593.0,172473311855544.88,32212943212079.39,1348011118766240.8,0.44526435517740054,0,,2020,0.44526435517740054,0.4451013181323657,0.469649182561304
