history_date,production_isk,destruction_isk,mining_isk,trade_value,total_exports,total_imports,total_isk_destroyed,total_isk,isk_velocity,is_war_period
2023-08-01,131903699981303.53,39102675548531.766,38233171345422.586,706862219825205.9,4802525803459580.0,4802525803459579.0,39102675548531.76,1337211695396234.5,0.5243785451272217,0
2023-09-01,126163656264398.94,34936782797667.566,35597269047825.13,633624689971008.1,4304225440958999.5,4304042629810184.5,34936782797667.562,1343980315524665.8,0.5217920734167207,0
2023-10-01,138485384788746.84,46013420882095.1,33624658202593.742,768534605794047.2,4884491994958288.0,4883827430431977.0,46013420882095.1,1351115255671906.2,0.5198026872497936,1
2023-11-01,145629862275582.1,49834284398709.33,35756618616666.67,873601124060208.6,7008661860955850.0,7032198709191264.0,49834284398709.32,1359304220920138.2,0.5183798565291167,1
2023-12-01,159169436878026.4,47282153851996.96,38101086442530.16,877687045656511.6,5814511743598613.0,5840747763849970.0,47282153851996.98,1368438824203048.5,0.5166451620667024,1
2024-01-01,159572370024751.72,46799810358626.72,44370432951050.25,810924009636752.0,3761607642602481.0,3762689445369463.0,46799810358626.72,1377426776152408.5,0.5145957966629982,1
2024-02-01,145394427459303.94,40516347821021.2,57120293717139.125,751167742677445.2,3250047512961507.5,3251284191491613.0,40516347821021.23,1385266398101875.5,0.5127459860734057,0
2024-03-01,157550029874117.97,46191634137410.234,52990614293935.07,806561221013837.0,3341222317562894.5,3342555900215212.0,46191634137410.24,1393559895783405.0,0.5108148437342525,1
2024-04-01,150436156614580.25,42476665255600.17,44619287270865.695,817625569508503.0,3213747255818093.0,3215313250590769.5,42476665255600.17,1401674921430042.8,0.5091279903203807,0
2024-05-01,160798217461835.84,46743375654730.66,51109642576421.74,847628788758310.9,3488759777653644.5,3490006938579151.5,46743375654730.65,1410706094878062.8,0.5072999503839183,1
2024-06-01,147505790800437.62,44300180560326.82,46450127204587.27,877549029075254.8,3504122489280191.0,3506051995052144.0,44300180560326.83,1419684116169899.5,0.5057632718554639,0
2024-07-01,146705395842283.62,40660921472331.21,43387511981704.43,743378196748713.6,3310691745527193.0,3312079248123045.0,40660921472331.22,1428621080161553.8,0.5034886108191451,0
2024-08-01,144985187498308.88,37889035966255.0,43254764758368.445,765972716273887.4,3193936978556490.5,3195616751134096.5,37889035966254.99,1436822692982695.5,0.5014414889859219,0
2024-09-01,139132655173072.98,38728915977742.94,43537548597997.11,764547558173150.2,3178721471251589.0,3180827568062391.0,38728915977742.95,1444894672645448.2,0.49956356909426997,0
