region_name,source,quantity
Aridia,metanox_mining,231503987030.0
Aridia,refinery_mining,65396565760.0
Black Rise,metanox_mining,238857777298.0
Black Rise,refinery_mining,14897867530.0
Branch,metanox_mining,270578767348.0
Branch,refinery_mining,193570539348.0
Cache,metanox_mining,97686465795.0
Catch,metanox_mining,321360439594.0
Catch,refinery_mining,534570757054.0
Cloud Ring,metanox_mining,145095117300.0
Cloud Ring,refinery_mining,57143191077.0
Cobalt Edge,metanox_mining,98180058463.0
Cobalt Edge,refinery_mining,196199804322.0
Curse,metanox_mining,225450789949.0
Curse,refinery_mining,10977748128.0
Deklein,metanox_mining,234733649534.0
Deklein,refinery_mining,52535272005.0
Delve,metanox_mining,359299335273.0
Delve,refinery_mining,378594.0
Derelik,metanox_mining,157070513787.0
Derelik,refinery_mining,209997830256.0
Detorid,metanox_mining,95513397808.0
Detorid,refinery_mining,13873775185.0
Devoid,metanox_mining,57940279109.0
Devoid,refinery_mining,82702596677.0
Domain,metanox_mining,110264011929.0
Domain,refinery_mining,218093115399.0
Esoteria,metanox_mining,92079612517.0
Esoteria,refinery_mining,158933688940.0
Essence,metanox_mining,105272611520.0
Essence,refinery_mining,66162360120.0
Etherium Reach,metanox_mining,135016911984.0
Etherium Reach,refinery_mining,486741999989.0
Everyshore,metanox_mining,43776312124.0
Everyshore,refinery_mining,26141573477.0
Fade,metanox_mining,105456187121.0
Fade,refinery_mining,46350810263.0
Feythabolis,metanox_mining,137721378393.0
Feythabolis,refinery_mining,160237871189.0
Fountain,metanox_mining,375735297605.0
Fountain,refinery_mining,634721404787.0
Geminate,metanox_mining,312117215757.0
Geminate,refinery_mining,204014697137.0
Genesis,metanox_mining,225039897283.0
Genesis,refinery_mining,30285811275.0
Great Wildlands,metanox_mining,372861169114.0
Great Wildlands,refinery_mining,117129279052.0
Heimatar,metanox_mining,107238022574.0
Heimatar,refinery_mining,37941846937.0
Immensea,metanox_mining,111052434785.0
Immensea,refinery_mining,72403222522.0
Impass,metanox_mining,107297679652.0
Impass,refinery_mining,88089618459.0
Insmother,metanox_mining,67592206698.0
Insmother,refinery_mining,124238931807.0
Kador,metanox_mining,79523633651.0
Kador,refinery_mining,94486448136.0
Khanid,metanox_mining,166453395140.0
Khanid,refinery_mining,40833617839.0
Kor-Azor,metanox_mining,116549741438.0
Kor-Azor,refinery_mining,12962176032.0
Lonetrek,metanox_mining,83871437894.0
Lonetrek,refinery_mining,48338064742.0
Malpais,metanox_mining,140479696408.0
Malpais,refinery_mining,268478782250.0
Metropolis,metanox_mining,259104022233.0
Metropolis,refinery_mining,36722192454.0
Molden Heath,metanox_mining,142210628878.0
Molden Heath,refinery_mining,148273990691.0
Oasa,metanox_mining,153352040713.0
Oasa,refinery_mining,158551154880.0
Omist,metanox_mining,124883280587.0
Omist,refinery_mining,108782583431.0
Outer Passage,metanox_mining,111783459073.0
Outer Passage,refinery_mining,156126982914.0
Outer Ring,metanox_mining,212083377520.0
Outer Ring,refinery_mining,156984950764.0
Paragon Soul,metanox_mining,37570967847.0
Paragon Soul,refinery_mining,29309013385.0
Period Basis,metanox_mining,72868462456.0
Period Basis,refinery_mining,26812616.0
Perrigen Falls,metanox_mining,240527524194.0
Perrigen Falls,refinery_mining,191573879895.0
Placid,metanox_mining,182879766824.0
Placid,refinery_mining,22241510128.0
Pochven,refinery_mining,22382360580.0
Providence,metanox_mining,186771326633.0
Providence,refinery_mining,217965496055.0
Pure Blind,metanox_mining,294156380657.0
Pure Blind,refinery_mining,340306432647.0
Querious,metanox_mining,449103691372.0
Querious,refinery_mining,68034735353.0
Scalding Pass,metanox_mining,264418072501.0
Scalding Pass,refinery_mining,45675229570.0
Sinq Laison,metanox_mining,127590047415.0
Sinq Laison,refinery_mining,45474397748.0
Solitude,metanox_mining,144765146435.0
Solitude,refinery_mining,23516393164.0
Stain,metanox_mining,265910316638.0
Stain,refinery_mining,310346387054.0
Syndicate,metanox_mining,452562673649.0
Syndicate,refinery_mining,219691371428.0
Tash-Murkon,metanox_mining,23428018168.0
Tash-Murkon,refinery_mining,38119736658.0
Tenal,metanox_mining,112934001738.0
Tenal,refinery_mining,49928063059.0
Tenerifis,metanox_mining,169410759623.0
Tenerifis,refinery_mining,320890138219.0
The Bleak Lands,metanox_mining,61824293181.0
The Bleak Lands,refinery_mining,10095090002.0
The Citadel,metanox_mining,85641212700.0
The Citadel,refinery_mining,41760960252.0
The Forge,metanox_mining,71314148441.0
The Forge,refinery_mining,86564052716.0
The Kalevala Expanse,metanox_mining,246727223953.0
The Kalevala Expanse,refinery_mining,135576124977.0
The Spire,metanox_mining,100086376866.0
The Spire,refinery_mining,181569735380.0
Tribute,metanox_mining,148248497204.0
Tribute,refinery_mining,355061212781.0
Vale of the Silent,metanox_mining,175735894682.0
Vale of the Silent,refinery_mining,939187761395.0
Venal,metanox_mining,363975421246.0
Venal,refinery_mining,96127453326.0
Verge Vendor,metanox_mining,41474256870.0
Verge Vendor,refinery_mining,27902131881.0
Wicked Creek,metanox_mining,65729006160.0
Wicked Creek,refinery_mining,182458507301.0
Wormhole (Class 1),metanox_mining,3299484619.0
Wormhole (Class 1),refinery_mining,574524316.0
Wormhole (Class 2),metanox_mining,18917624582.0
Wormhole (Class 2),refinery_mining,685521174.0
Wormhole (Class 3),metanox_mining,7738869923.0
Wormhole (Class 3),refinery_mining,724224688.0
Wormhole (Class 4),metanox_mining,18017595333.0
Wormhole (Class 4),refinery_mining,1066072624.0
Wormhole (Class 5),metanox_mining,4514734342.0
Wormhole (Class 5),refinery_mining,394087744.0
