wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,1345688055868.8096
Class 1,Blue loot,Imports,1322597148125.7358
Class 1,Gas,Exports,389669130516.7558
Class 1,Gas,Imports,159128507938.1906
Class 1,Materials,Exports,1633616335127.1287
Class 1,Materials,Imports,1608230916768.759
Class 2,Blue loot,Exports,3721792049749.3364
Class 2,Blue loot,Imports,3674726579940.0454
Class 2,Gas,Exports,935764457590.8582
Class 2,Gas,Imports,920724489504.0514
Class 2,Materials,Exports,4126774939408.4277
Class 2,Materials,Imports,4195328392604.2017
Class 3,Blue loot,Exports,4018210318019.138
Class 3,Blue loot,Imports,3194696804874.134
Class 3,Gas,Exports,1184987857049.6824
Class 3,Gas,Imports,560215300198.2911
Class 3,Materials,Exports,4128341021171.528
Class 3,Materials,Imports,3871809802600.667
Class 4,Blue loot,Exports,3698902572969.168
Class 4,Blue loot,Imports,2790039713328.3257
Class 4,Gas,Exports,758943424043.784
Class 4,Gas,Imports,913174823184.8376
Class 4,Materials,Exports,2462908432471.22
Class 4,Materials,Imports,2062478089836.4321
Class 5,Blue loot,Exports,6892741558725.304
Class 5,Blue loot,Imports,2380962528079.094
Class 5,Gas,Exports,704010530851.0718
Class 5,Gas,Imports,301220050731.9195
Class 5,Materials,Exports,2276551558745.945
Class 5,Materials,Imports,1964374611921.9316
Class 6,Blue loot,Exports,3747458234541.6646
Class 6,Blue loot,Imports,970826960720.6813
Class 6,Gas,Exports,219044722190.2829
Class 6,Gas,Imports,105053649474.4073
Class 6,Materials,Exports,1033365460241.4719
Class 6,Materials,Imports,574228487460.8412
