region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,64353675288720.33,7233068715.887401,60010919686580.97,6356427517.5219,52515640475.0,513435164086.09,853817159166.897,2456033549716.01,1016104493632.4406,1980357964.0229,63473519.0
10000002,The Forge,317601806166430.2,28903905607.1936,365973036513122.06,38143682797.8003,463046629557.0,2447986803804.58,23778538152610.68,574510220590753.8,1346980316747.309,2867287688.7016,607382155.0
10000003,Vale of the Silent,29180950839261.246,3095814313.8248997,54102601390588.94,4772777840.3072,5943510768529.0,1642942561878.33,22925931677477.047,11911716879114.26,2972445498698.5986,6399002731.0589,0.0
10000005,Detorid,15267176576612.53,1303408393.6047,16795097128052.928,2777634129.7097,2097293486396.0,396522453114.33,747473704424.6418,4983205773.74,129018832069.46106,60488513.612,0.0
10000006,Wicked Creek,72981618310100.44,8327511152.580999,96994669420469.88,11477078612.074501,1553782039551.0,539750822910.72,5319944314671.447,248913284356.27,2493002502042.5747,818122971.2429,0.0
10000007,Cache,6366945354196.44,582445980.2612001,10205373203391.994,1237464629.2368999,336133847304.0,304795951367.53,2271620449524.7026,2465337467.1,256487316410.94666,0.0,0.0
10000008,Scalding Pass,54888342653567.71,3317020568.2555,60374922207382.74,4379934375.4507,1459806192018.0,506368686845.44,1843209563488.093,8953667769.67,461079566292.1329,257385398.174,0.0
10000009,Insmother,69248725988921.48,9234797751.7466,105146105608471.75,9953957050.1767,3797026153102.0,1570423293121.8,18148773410925.535,34482450001211.016,3721697055781.9214,1126521974.0773,0.0
10000010,Tribute,23858851467537.984,2567497735.2044997,21926865456538.453,1964754757.9236,2583696644515.0,765801688949.25,6888840562634.709,4722172270.0,479021339952.6107,1390701487.9489,0.0
10000011,Great Wildlands,34727646331999.938,1624157660.5137,34064580275031.855,1548858444.9192,27444159213.0,204519243765.91,148197736845.9999,110507957593.59,159329507685.40005,396366570.7851,1165423.0
10000012,Curse,20187396204893.24,1207725499.533,18661631787984.945,1016261383.9765,101288253470.0,274350079858.17,320001754543.4643,369176979568.26996,52820017517.94605,44531456.7598,340466032.0
10000013,Malpais,47936470136219.48,5111564183.0777,40336105226017.6,5415629109.0301,1530073204403.0,450960648482.31,3073041224059.5215,669861631288.94,1408747720553.3489,854205512.6622,0.0
10000014,Catch,48584938400858.34,3857085369.6289,49511294291820.266,3415500113.0249,1494340729511.0,825548727222.26,5639550369746.291,1321371011800.0898,786714480249.2513,1706683669.8101,0.0
