region_name,source,quantity,month
Wormhole (Class 6),metanox_mining,983206968.0,202502
Aridia,metanox_mining,286067655936.0,202503
Aridia,refinery_mining,96900868456.0,202503
Black Rise,metanox_mining,278232159146.0,202503
Black Rise,refinery_mining,32807706118.0,202503
Branch,metanox_mining,265603631220.0,202503
Branch,refinery_mining,420933946735.0,202503
Cache,metanox_mining,96368876155.0,202503
Cache,refinery_mining,151497585527.0,202503
Catch,metanox_mining,118109626797.0,202503
Catch,refinery_mining,1230003437082.0,202503
Cloud Ring,metanox_mining,163637570675.0,202503
Cloud Ring,refinery_mining,180176520545.0,202503
Cobalt Edge,metanox_mining,124677198595.0,202503
Cobalt Edge,refinery_mining,295108186331.0,202503
Curse,metanox_mining,250187892292.0,202503
Curse,refinery_mining,555047300.0,202503
Deklein,metanox_mining,206581605886.0,202503
Deklein,refinery_mining,233177639280.0,202503
Delve,metanox_mining,316629678884.0,202503
Delve,refinery_mining,111906167366.0,202503
Derelik,metanox_mining,183214344892.0,202503
Derelik,refinery_mining,306201107204.0,202503
Detorid,metanox_mining,281427045324.0,202503
Detorid,refinery_mining,263807670586.0,202503
Devoid,metanox_mining,86582095945.0,202503
Devoid,refinery_mining,109172816253.0,202503
Domain,metanox_mining,136252105886.0,202503
Domain,refinery_mining,355455521136.0,202503
Esoteria,metanox_mining,150139961751.0,202503
Esoteria,refinery_mining,247247624096.0,202503
Essence,metanox_mining,132017371436.0,202503
Essence,refinery_mining,154002126483.0,202503
Etherium Reach,metanox_mining,198770977993.0,202503
Etherium Reach,refinery_mining,675326658155.0,202503
Everyshore,metanox_mining,43980115909.0,202503
Everyshore,refinery_mining,101499530438.0,202503
Fade,metanox_mining,80903161711.0,202503
Fade,refinery_mining,93686999822.0,202503
Feythabolis,metanox_mining,98181863012.0,202503
Feythabolis,refinery_mining,324324317942.0,202503
Fountain,metanox_mining,472944044831.0,202503
Fountain,refinery_mining,668073765159.0,202503
Geminate,metanox_mining,322191208778.0,202503
Geminate,refinery_mining,262486137900.0,202503
Genesis,metanox_mining,305594516757.0,202503
Genesis,refinery_mining,56170488710.0,202503
Great Wildlands,metanox_mining,348867906275.0,202503
Great Wildlands,refinery_mining,179940400599.0,202503
Heimatar,metanox_mining,122637605267.0,202503
Heimatar,refinery_mining,55309109381.0,202503
Immensea,metanox_mining,35996708568.0,202503
Immensea,refinery_mining,721149571396.0,202503
Impass,metanox_mining,11209025544.0,202503
Impass,refinery_mining,431931200658.0,202503
Insmother,metanox_mining,244089694742.0,202503
Insmother,refinery_mining,349354219063.0,202503
Kador,metanox_mining,119203732912.0,202503
Kador,refinery_mining,173168592264.0,202503
Khanid,metanox_mining,192850686329.0,202503
Khanid,refinery_mining,162893985699.0,202503
Kor-Azor,metanox_mining,135078665324.0,202503
Kor-Azor,refinery_mining,23379187144.0,202503
Lonetrek,metanox_mining,91766156203.0,202503
Lonetrek,refinery_mining,115583617096.0,202503
Malpais,metanox_mining,171647752025.0,202503
Malpais,refinery_mining,424507884907.0,202503
Metropolis,metanox_mining,291028333926.0,202503
Metropolis,refinery_mining,74814167052.0,202503
Molden Heath,metanox_mining,147480505924.0,202503
Molden Heath,refinery_mining,137511759905.0,202503
Oasa,metanox_mining,200916458334.0,202503
Oasa,refinery_mining,310601885253.0,202503
Omist,metanox_mining,143989726647.0,202503
Omist,refinery_mining,99119737408.0,202503
Outer Passage,metanox_mining,127730296688.0,202503
Outer Passage,refinery_mining,239412951210.0,202503
Outer Ring,metanox_mining,357821260904.0,202503
Outer Ring,refinery_mining,8553815768.0,202503
Paragon Soul,metanox_mining,84202571532.0,202503
Paragon Soul,refinery_mining,125488432574.0,202503
Period Basis,metanox_mining,141420678727.0,202503
Period Basis,refinery_mining,33252029710.0,202503
Perrigen Falls,metanox_mining,179066454992.0,202503
Perrigen Falls,refinery_mining,292858486114.0,202503
