wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,1735727582977.1494
Class 1,Blue loot,Imports,1705416088397.7476
Class 1,Gas,Exports,444625953050.1631
Class 1,Gas,Imports,240234179585.36758
Class 1,Materials,Exports,2623005671110.28
Class 1,Materials,Imports,2984684084729.3423
Class 2,Blue loot,Exports,5305885555636.996
Class 2,Blue loot,Imports,5200261259595.579
Class 2,Gas,Exports,1103206253353.9363
Class 2,Gas,Imports,1137787794141.6006
Class 2,Materials,Exports,7062317895022.113
Class 2,Materials,Imports,6484148300045.648
Class 3,Blue loot,Exports,6997487955151.072
Class 3,Blue loot,Imports,5793107471985.654
Class 3,Gas,Exports,1395916955608.1792
Class 3,Gas,Imports,647184851501.753
Class 3,Materials,Exports,6308850045430.529
Class 3,Materials,Imports,5497957959047.947
Class 4,Blue loot,Exports,6243746821424.35
Class 4,Blue loot,Imports,4816513554537.625
Class 4,Gas,Exports,885199140994.6361
Class 4,Gas,Imports,1245894213307.2673
Class 4,Materials,Exports,3342536669229.3887
Class 4,Materials,Imports,3172107427888.3296
Class 5,Blue loot,Exports,10953482631539.064
Class 5,Blue loot,Imports,3414006784483.084
Class 5,Gas,Exports,1153187522898.7312
Class 5,Gas,Imports,438289539372.4913
Class 5,Materials,Exports,3566723704914.0166
Class 5,Materials,Imports,2925841445463.386
Class 6,Blue loot,Exports,5870406862555.015
Class 6,Blue loot,Imports,1931581375458.694
Class 6,Gas,Exports,355707814585.8572
Class 6,Gas,Imports,192252182567.2258
Class 6,Materials,Exports,1484005223895.3047
Class 6,Materials,Imports,912930649351.2877
