region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,88943507138929.95,8994198178.287,88334063906842.56,9108048589.585701,70438114473.0,382943360545.32,551865780172.8248,1386508839750.2996,887629904481.5338,1197939664.9535,81851703.0
10000002,The Forge,390865331027764.5,32674734110.2075,436251660037783.1,41521793957.0205,438675325722.0,2344878913210.88,23987933628474.6,687314471711740.0,1241310603937.016,2123692819.1154,595883757.0
10000003,Vale of the Silent,35005333365281.066,2904903377.113,39619227540892.44,2429336386.8845,5609107901278.0,1854110152853.21,22786563414634.215,10192933779136.752,2885031451676.1445,5402275063.8395,0.0
10000005,Detorid,9943698110078.887,667211668.4229,10501534934209.44,893125545.8330001,669837265998.0,334187303581.18,1623678343934.1226,491291073013.11,651045787335.2301,1018743930.9097,0.0
10000006,Wicked Creek,6095700128549.741,345732652.8407,5509618796153.243,363067620.4686,330785734456.0,101962309309.64,3770472469.8377,1898449900.0,46476657690.01218,938175.6944,0.0
10000007,Cache,7806732895370.472,614628110.2184,8972587947481.59,545995353.1656,1408728226150.0,453139504220.59,840447965762.8578,334682782185.99994,405252850636.7883,686024880.3587,0.0
10000008,Scalding Pass,10602340166188.373,862941788.9226999,15471980658845.094,1815968789.7968001,321648367030.0,456485658569.39,118014479662.4859,61566584195.25,205080600272.2964,79356089.6199,0.0
10000009,Insmother,12153808208323.504,1060773560.2416999,10667629571047.629,1039483862.1767,2858033325464.0,572890070553.47,545177842071.2445,111895577357.68,701729884256.689,1474537987.6547,0.0
10000010,Tribute,26711170345119.863,2629340940.1805997,24312521199880.066,1623509723.0218,2367764601711.0,720548364079.13,3933493566919.361,2983281080.0,517929160365.20526,1649586154.9509,0.0
10000011,Great Wildlands,13140846098378.172,1338102214.2952,12887592709092.35,1368709512.6616,33749456755.0,243904699389.73,286667499260.9029,27389626288.300003,279505553433.53143,1423285253.8633,4389505.0
10000012,Curse,26207141753768.504,2305111587.8656,19918566700694.09,1940500615.4654,102018455276.0,262799186027.8,253753646020.0555,161050032266.47,52674424860.62713,65460783.765,363484268.0
10000013,Malpais,26233838020040.848,1716692067.248,18627879112680.945,1117737354.417,1253152080714.0,267025774862.02,5067308990045.26,381692414579.2001,1262226040663.2476,1451686135.3309,0.0
10000014,Catch,88237347376268.92,6374355006.1714,97097257141223.3,5991329359.5197,2724422464441.0,1263555313713.79,8519835907073.917,115268202226.93001,1163724723399.471,3317885860.6044,0.0
10000015,Venal,21138870317523.91,1031041143.2507,17925514421844.63,1432873672.238,363205736839.0,320365808983.42,259199449142.7103,139013346021.77,445918277097.581,882501949.0569,705617347.0
10000016,Lonetrek,263051010384977.06,29480890854.300602,254065136281564.4,24600903945.493702,572189759092.0,1618388377522.84,13884476230110.611,19677386322261.43,1079516091255.7311,1908692503.8623,2481583911.0
10000018,The Spire,11626195050030.762,880184926.0475,12672090269955.266,955110097.1865,793271199681.0,163438233259.4,167177722419.5525,12703734395.16,854483485180.7146,1113130739.1679,0.0
10000020,Tash-Murkon,50625065398887.32,6039039069.291901,46914689934133.086,4617355920.4274,159306496560.0,243268590884.93,1363545159118.1985,2498696928705.7,637244848162.8553,987299209.451,111835357.0
10000021,Outer Passage,8884413773793.068,448975133.4182,11614224830844.24,558620613.3002,694074323335.0,186108226511.67,926222440181.701,273725000.0,904577019205.4994,676168357.9724,0.0
10000022,Stain,10224491929088.172,794713867.5856,10046692838619.764,898704012.425,292648655610.0,349194155767.68,1408153023109.1895,232486982462.64005,297310956402.08984,965380965.8781,517817545.0
10000023,Pure Blind,24868385306981.3,3072589860.815,29072799979329.934,3564533314.2692,984076691750.0,1063917015621.54,2539475558882.04,846785194578.3401,613727779098.1322,1597564471.6061,333869757.0
10000025,Immensea,31124504224396.766,3262889355.6128,39191037099072.28,3527288602.0091,4026920475413.0,903554066043.91,18647831356022.195,18323197864.02,1888277206199.8867,3520357768.7697,0.0
10000027,Etherium Reach,25148016142377.016,2314169980.8575,25825800892580.215,2476140175.445,1289778508895.0,678936299676.87,3676191098764.853,683453533902.9202,1296907869954.8455,2906642656.0357,0.0
10000028,Molden Heath,29719135201743.297,3620755941.8692,23133724855114.332,2695085919.9957,130992108094.0,155938750542.67,692785647465.071,485929309328.1001,361075441952.1255,1474272807.7851,348416084.0
10000029,Geminate,85742402744011.42,3647729102.0293,83413827865037.1,3741888972.7971,1790366322576.0,835138242842.48,1355299655605.3503,247940361678.08997,444211812287.5652,1636829884.6386,0.0
10000030,Heimatar,107923911444581.27,12475123930.9588,110396337037514.6,13128038431.8643,210533273403.0,1294885718085.51,1885712843525.775,8012540357341.102,781329455041.5116,822837574.9437,142518758.0
10000031,Impass,24783356734306.703,3472190292.4772,26014502604394.113,4094207470.4907,2068123812648.0,467177596528.11,1877969069209.5994,253268224034.85004,1907926142342.2532,2795376918.2713,0.0
10000032,Sinq Laison,215248316138142.66,18352657459.04,208943811749109.38,19064970579.0556,251869312512.0,1407772614159.41,8567465045355.766,17885477335570.117,997331729979.6646,1404071435.8211,132925554.0
10000033,The Citadel,315506150372033.0,30649372944.7374,305228224756035.8,28351496979.5015,302602501614.0,1525182833199.83,18148514175779.05,3617251178746.7603,638287056398.6709,1184035266.843,182425122.0
10000034,The Kalevala Expanse,82540175167096.45,4800847030.2332,86841032109820.9,4532468781.0698,2604752577099.0,797141896708.31,4270152473742.121,30605354965.22,938870790428.8889,1998101858.9914,0.0
10000035,Deklein,8110770322237.558,1637043829.7305,7688178243731.286,372625032.1175,1182011923315.0,432564647779.36,9591272671762.459,346322411600.1701,730103622648.1622,784270523.3671,0.0
