history_date,security_band,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted
2024-03-01,High Sec,793239036.0,2319750.0,686390000.0,754086120.0,189922400.75,190520.0,136519000.0,168989490.0
2024-03-01,Low Sec,139764261.05,8293920.0,13619000.0,51258960.0,24759480.9,936950.0,1688000.0,5184740.0
2024-03-01,Null Sec,982862585.2,7290670.0,285898000.0,1348819740.0,179157033.4,467770.0,63674000.0,70164870.0
2024-03-01,Pochven,2422544.0,0.0,0.0,0.0,771944.0,0.0,0.0,0.0
2024-03-01,Wormhole,154691962.4,24078720.0,1761000.0,9620860.0,40605082.6,4914654.0,445000.0,1960830.0
2024-03-02,High Sec,813960522.0,2122480.0,729027000.0,909319490.0,205069268.4,175010.0,154875000.0,185172630.0
2024-03-02,Low Sec,140440092.5,8838970.0,4019000.0,57012030.0,31932366.6,1143220.0,301000.0,7509430.0
2024-03-02,Null Sec,920159648.8,9139000.0,310820000.0,1523318210.0,151785112.75,555850.0,70242000.0,87403900.0
2024-03-02,Pochven,2812648.0,0.0,0.0,85950.0,840576.0,0.0,0.0,21220.0
2024-03-02,Wormhole,180777733.6,25492221.0,1168000.0,34405820.0,62375464.9,5473526.0,361000.0,3335080.0
2024-03-03,High Sec,867283022.7,2031470.0,661825000.0,731805120.0,214863575.2,213300.0,134148000.0,138587530.0
2024-03-03,Low Sec,122876385.45,8435860.0,5520000.0,67561150.0,31287081.8,1019910.0,1067000.0,7138690.0
2024-03-03,Null Sec,951936981.7,7565390.0,322287000.0,1361409880.0,154383708.4,541590.0,67114000.0,60688500.0
2024-03-03,Pochven,12015184.0,0.0,0.0,1754960.0,739184.0,0.0,0.0,4610.0
2024-03-03,Wormhole,192095505.7,25858764.0,1476000.0,12597820.0,59818401.7,4887856.0,128000.0,4839230.0
2024-03-04,High Sec,784229296.3,2314210.0,629538000.0,638819730.0,192911569.75,182200.0,131676000.0,133954950.0
2024-03-04,Low Sec,126499853.9,8392860.0,2669000.0,35602180.0,27740274.5,1214560.0,599000.0,2954310.0
2024-03-04,Null Sec,918657873.2,6755200.0,307473000.0,976337140.0,146547879.1,615620.0,58235000.0,49870280.0
2024-03-04,Pochven,8539664.0,0.0,0.0,19040.0,2890976.0,0.0,0.0,6000.0
2024-03-04,Wormhole,142727393.8,24442662.0,1221000.0,3653800.0,44117073.4,4778823.0,351000.0,636540.0
2024-03-05,High Sec,757397112.4,2233080.0,640216000.0,637810160.0,182629648.05,176300.0,127481000.0,140264730.0
2024-03-05,Low Sec,127216116.8,8178990.0,3793000.0,30405490.0,34226327.1,1028850.0,642000.0,4287980.0
2024-03-05,Null Sec,897722101.15,7417890.0,291407000.0,922705580.0,143942162.6,643210.0,58349000.0,63513030.0
2024-03-05,Pochven,1377360.0,0.0,0.0,0.0,576368.0,0.0,0.0,0.0
2024-03-05,Wormhole,110905335.4,26284746.0,723000.0,1506760.0,36275878.0,5240618.0,166000.0,224090.0
2024-03-06,High Sec,729185367.95,2314300.0,666305000.0,664499200.0,175183787.95,151820.0,125943000.0,143841800.0
2024-03-06,Low Sec,154450548.9,9280180.0,3481000.0,58615350.0,49827814.5,1167130.0,1012000.0,4036220.0
2024-03-06,Null Sec,908197658.5,8744880.0,305901000.0,1030309800.0,145472663.8,740270.0,62027000.0,53860570.0
2024-03-06,Pochven,7216472.0,0.0,0.0,0.0,2914088.0,0.0,0.0,0.0
2024-03-06,Wormhole,200307801.3,24102172.0,6577000.0,17915650.0,61386139.4,5066372.0,1994000.0,2075830.0
2024-03-07,High Sec,751143014.1,2145530.0,644311000.0,609162130.0,185286660.5,160660.0,125390000.0,121615210.0
2024-03-07,Low Sec,170415680.25,8460490.0,2704000.0,24539060.0,41455180.4,1099890.0,701000.0,4597480.0
2024-03-07,Null Sec,1021600182.85,7726100.0,316656000.0,1050644280.0,150257058.1,753140.0,74493000.0,51429840.0
2024-03-07,Pochven,3974688.0,0.0,0.0,0.0,890992.0,0.0,0.0,0.0
2024-03-07,Wormhole,186255004.4,21778627.0,489000.0,6989800.0,54675411.4,4212946.0,167000.0,610250.0
2024-03-08,High Sec,756996873.15,2146160.0,707465000.0,779862270.0,186428526.5,141430.0,142602000.0,170433470.0
2024-03-08,Low Sec,128742792.0,9171550.0,5381000.0,77427020.0,36852871.7,985400.0,731000.0,5618490.0
2024-03-08,Null Sec,893993090.25,7720770.0,258284000.0,1051382740.0,139750573.45,692460.0,58493000.0,51179340.0
2024-03-08,Pochven,8185088.0,0.0,0.0,0.0,2436320.0,0.0,0.0,0.0
2024-03-08,Wormhole,160481246.5,22121760.0,605000.0,15173700.0,47523754.9,4373122.0,82000.0,2583950.0
2024-03-09,High Sec,827535745.4,2773850.0,722585000.0,947334990.0,207749023.2,184550.0,142641000.0,188260880.0
2024-03-09,Low Sec,101007789.85,9051160.0,3447000.0,56059200.0,24791811.2,1021770.0,1074000.0,4841370.0
2024-03-09,Null Sec,993994159.2,7997800.0,283759000.0,1303577680.0,151720861.9,742600.0,54148000.0,64345970.0
2024-03-09,Pochven,4562984.0,0.0,0.0,0.0,1332496.0,0.0,0.0,0.0
2024-03-09,Wormhole,186716092.2,25916052.0,6221000.0,14810930.0,56492237.9,5253977.0,1756000.0,2670900.0
2024-03-10,High Sec,924656064.05,2746190.0,697532000.0,799102020.0,235595884.05,133990.0,137963000.0,165166740.0
2024-03-10,Low Sec,98037743.9,9567410.0,4018000.0,111463330.0,30896597.05,1023330.0,1081000.0,10957180.0
2024-03-10,Null Sec,1059664684.4,7316100.0,294206000.0,1428249280.0,174144539.6,677960.0,56394000.0,84608810.0
2024-03-10,Pochven,8071584.0,0.0,0.0,0.0,2668984.0,0.0,0.0,0.0
2024-03-10,Wormhole,175853738.3,25991030.0,251000.0,7745240.0,46999040.1,5089539.0,40000.0,1015490.0
2024-03-11,High Sec,683717239.45,2846750.0,659473000.0,641546690.0,166904057.3,216210.0,129867000.0,131239310.0
2024-03-11,Low Sec,127274787.8,8877220.0,1351000.0,44349980.0,33877218.1,1183240.0,329000.0,3673940.0
2024-03-11,Null Sec,985157793.2,7764210.0,226173000.0,913557620.0,148241354.1,411920.0,51975000.0,43448810.0
2024-03-11,Pochven,5929376.0,0.0,0.0,0.0,912560.0,0.0,0.0,0.0
2024-03-11,Wormhole,129394110.4,25505251.0,413000.0,2933530.0,43888085.9,5101246.0,119000.0,1031170.0
2024-03-12,High Sec,739009903.75,2212020.0,639314000.0,648425210.0,178666051.05,130950.0,127237000.0,147215800.0
2024-03-12,Low Sec,160375895.4,8984810.0,2436000.0,40252500.0,50889941.0,1045020.0,674000.0,1336880.0
2024-03-12,Null Sec,941662137.7,7950570.0,238910000.0,1062520930.0,148803638.8,588090.0,48728000.0,49738450.0
2024-03-12,Pochven,7265000.0,0.0,0.0,0.0,1961328.0,0.0,0.0,0.0
2024-03-12,Wormhole,132399210.5,25925929.0,6676000.0,24298190.0,40436517.3,4959905.0,1494000.0,5684410.0
2024-03-13,High Sec,688216188.15,2893100.0,668553000.0,697945340.0,163219038.35,202260.0,130007000.0,168515610.0
2024-03-13,Low Sec,177712190.1,8877060.0,4155000.0,42925240.0,50583998.25,1010070.0,1395000.0,1690020.0
2024-03-13,Null Sec,954222480.5,5790870.0,328001000.0,1246908850.0,137795425.9,627330.0,77606000.0,61349700.0
2024-03-13,Pochven,5518856.0,0.0,0.0,0.0,1952712.0,0.0,0.0,0.0
2024-03-13,Wormhole,142697106.4,21906136.0,429000.0,11149290.0,41345321.0,4130853.0,111000.0,1262400.0
2024-03-14,High Sec,769030059.15,2547320.0,647028000.0,670771590.0,184414083.55,147420.0,127119000.0,157863030.0
2024-03-14,Low Sec,110852616.75,8656520.0,2140000.0,49766670.0,27836949.0,1017270.0,623000.0,4454050.0
2024-03-14,Null Sec,939312870.35,6525910.0,292435000.0,1047323010.0,135868060.2,548640.0,60283000.0,59506690.0
2024-03-14,Pochven,834432.0,0.0,0.0,0.0,283696.0,0.0,0.0,0.0
2024-03-14,Wormhole,140402846.5,21423308.0,466000.0,7098810.0,40217389.8,4377677.0,123000.0,1611910.0
2024-03-15,High Sec,732063252.2,2370080.0,683382000.0,809641110.0,171976890.4,173300.0,131096000.0,163057260.0
2024-03-15,Low Sec,137750571.7,9588670.0,3947000.0,50056170.0,28959981.3,1109820.0,1013000.0,6393850.0
2024-03-15,Null Sec,1102787121.7,6443780.0,266322000.0,1325490710.0,169704999.6,480210.0,58396000.0,69889150.0
2024-03-15,Pochven,6501952.0,0.0,0.0,0.0,1915488.0,0.0,0.0,0.0
2024-03-15,Wormhole,145403464.9,21606875.0,1292000.0,1434920.0,45106031.3,4549520.0,392000.0,333770.0
2024-03-16,High Sec,829551443.35,2599090.0,687584000.0,836758630.0,205287740.1,162400.0,138243000.0,164963000.0
2024-03-16,Low Sec,135509141.5,9385910.0,2455000.0,79212790.0,28675151.8,1039340.0,640000.0,7131880.0
